ds,yhat,yhat_lower,yhat_upper
2009-12-01,48926.470736324954,33654.40751836651,63101.60064790436
2009-12-02,45880.15038773201,31973.02584833398,61816.92342510361
2009-12-03,52829.85154590473,38165.530848019014,67682.12887278451
2009-12-04,43398.47792088507,28164.83254331537,58522.65676370456
2009-12-05,10988.789792641843,-4477.072084493276,25964.642506440363
2009-12-06,32634.28753863634,17831.92262657602,47793.11021501586
2009-12-07,43374.30480521501,28044.98217832607,58570.734764853594
2009-12-08,45004.393756201374,29884.48646041147,58840.43909976106
2009-12-09,40960.73878029574,25565.894253265193,56174.31912832891
2009-12-10,46901.28745536497,31657.31136106646,62170.921830839136
2009-12-11,36471.31878218111,21869.36349999556,52891.77176963992
2009-12-13,23834.14862889573,8069.511806905514,38580.12750701901
2009-12-14,33745.72284827898,18387.32574489836,49507.75620088615
2009-12-15,34648.557773377965,19415.393886482023,50430.69966636133
2009-12-16,29998.684098595448,14215.456130308716,45459.963843601035
2009-12-17,35471.5858333021,20310.789966768698,50841.6244195595
2009-12-18,24727.25015032444,9887.996865873545,40377.874324806944
2009-12-20,11963.254264491676,-4035.5583988099825,27176.1076900065
2009-12-21,22074.005863630628,6132.027800244219,35973.7077282566
2009-12-22,23352.117533643323,7764.426704942422,37880.92763294147
2009-12-23,19249.2044425492,2721.4456926236085,35251.10958291422
2010-01-04,19106.69313264167,4550.42431793113,34312.17950819886
2010-01-05,22637.62437010189,8149.373940762662,38085.097626675684
2010-01-06,20690.40786274563,4911.843021200053,34140.80955739988
2010-01-07,28887.585767657387,14696.636479104965,44603.38077056949
2010-01-08,20835.60526037777,4815.75979815748,36750.79887088709
2010-01-10,13151.093462694202,-3011.284725042532,28029.704979432558
2010-01-11,25550.368225036025,9200.214494158656,41993.930816047534
2010-01-12,28890.25619431576,13653.843765369273,45162.09679695797
2010-01-13,26584.400381048792,10127.362213896005,41785.80120732692
2010-01-14,34268.07682458935,17903.81555918265,49904.35571906538
2010-01-15,25564.153069229138,10202.206182025317,40025.230782200786
2010-01-17,16241.786735376834,719.1957376181891,30763.313045594175
2010-01-18,27702.010618620487,11613.80480667397,43852.891460654115
2010-01-19,30056.877809998176,15667.445387248936,46197.0909585029
2010-01-20,26746.758658656574,10836.81208473041,41693.51950590807
2010-01-21,33433.7316395683,17575.50172328963,48629.23507939616
2010-01-22,23766.842493373,8863.44368950299,38700.58387232324
2010-01-24,12717.325429095185,-1209.7213709084501,27421.63603467687
2010-01-25,23456.717633064316,7970.787227327353,38006.01149863914
2010-01-26,25210.110062772525,9563.763105326776,40237.020659740585
2010-01-27,21431.812013685267,6544.778271899112,37784.48660015258
2010-01-28,27794.06595782881,12222.618696204947,42360.956896598174
2010-01-29,17952.08684687691,3331.2518142420713,33010.516679172295
2010-01-31,7005.436208964424,-8457.80551088252,21214.51646798055
2010-02-01,18014.72684943999,2131.5721246775734,32258.96057199654
2010-02-02,20171.868246305577,6574.29614766252,36318.862383284824
2010-02-03,16917.943494468236,2913.9975446758754,32446.616585075022
2010-02-04,23908.942087819283,9352.951200756808,39567.58447297628
2010-02-05,14781.291478244755,-842.1651178800574,30007.058132083548
2010-02-07,5435.6129046541355,-10277.839347183977,20732.148177047493
2010-02-08,17286.529342512742,1300.510660546958,33736.325501999476
2010-02-09,20282.127520667556,5150.8959669149845,36131.828449612054
2010-02-10,17841.071906208294,2494.3617842727253,33215.33825213214
2010-02-11,25598.102463165822,9920.334557457823,40606.79798227106
2010-02-12,17170.14364830299,1256.6438518729283,30953.68643586008
2010-02-14,8958.602032069173,-6915.485425315804,23296.713174010423
2010-02-15,21218.00982538075,6031.114576249527,36023.87825995059
2010-02-16,24504.492635455248,9178.411419147842,40732.96975916368
2010-02-17,22232.170819494586,7559.673270687286,37930.47681952834
2010-02-18,30034.844606338444,14904.849187898237,44967.37427494952
2010-02-19,21532.07009705349,6245.975867187584,37972.89784990571
2010-02-21,12836.994666856504,-2917.598543684323,28621.596175703453
2010-02-22,24709.107449882824,8498.283873502929,39157.354346136264
2010-02-23,27529.958059474473,11366.06941624402,42828.73417537762
